,Components,l,pol,class,map_logp,Marg. Likelihood,Modified Prior,model,gelRub,accTrain,accTest,f1Train,f1Test
71,4,True,2,cep,-inf,-1135.5675683819,laplace,RL,"{'mean1': 1.0029977976427822, 'Intercept': 1.0142080064528496, 'col0': 1.0115247068431077, 'col1': 1.0026004824216508, 'col2': 1.0023812893811925, 'col3': 0.9998960818161892, 'col4': 1.0028213952098863, 'col5': 1.0034692694987872, 'col6': 1.0007559847391598, 'col7': 1.0172385851665584}",0.92,0.59,0.92,0.53
72,4,True,2,dsct,-inf,-305.556217821757,laplace,RL,"{'mean1': 0.9995345989974501, 'Intercept': 1.034931231495909, 'col0': 1.0075889165099032, 'col1': 1.0128153261187987, 'col2': 1.0015456743680369, 'col3': 1.0112724272513676, 'col4': 1.247785352218445, 'col5': 1.3250157061799135, 'col6': 1.0053343356440139, 'col7': 0.9998614869876631}",0.97,0.52,0.97,0.30
73,4,True,2,lpv,-inf,-305.556217821757,laplace,RL,"{'mean1': 0.9995345976327658, 'Intercept': 1.1242817432060828, 'col0': 1.2395894626128217, 'col1': 1.279030204962098, 'col2': 1.3886217843488684, 'col3': 1.005641329025794, 'col4': 1.4194674559434537, 'col5': 1.0278884337117955, 'col6': 1.6058029978669432, 'col7': 1.0055778078159514}",0.99,0.75,0.99,0.80
74,4,True,2,ecl,-inf,-1165.81280047025,laplace,RL,"{'mean1': 0.9995078922521701, 'Intercept': 1.0155616033404877, 'col0': 1.1003703091936459, 'col1': 1.172872890891013, 'col2': 1.1122145149891454, 'col3': 1.0502623828548416, 'col4': 1.0288923724439418, 'col5': 1.084640315730429, 'col6': 1.007390418592763, 'col7': 1.0211284022333604}",0.97,0.59,0.97,0.52
75,4,True,3,rrlyr,-inf,-736.464792486317,normal,RL,"{'mean1': 1.0105488844222759, 'Intercept': 1.0067852399011397, 'col0': 1.0374724997355989, 'col1': 1.03685053587562, 'col2': 1.047621976699083, 'col3': 1.0057157235988894, 'col4': 1.0499364316599755, 'col5': 1.1692495418485127, 'col6': 1.0802607105429587, 'col7': 1.0067583154956619, 'col8': 1.0664783938399889, 'col9': 1.0497071617376288, 'col10': 1.130379928940406, 'col11': 0.9995301727907014}",0.98,0.67,0.98,0.70
76,4,True,3,cep,-inf,-1056.36785586748,normal,RL,"{'mean1': 1.00567090329641, 'Intercept': 1.1005815038082825, 'col0': 1.5474116798051052, 'col1': 0.9995061947605205, 'col2': 1.650623018324179, 'col3': 1.2296790677074958, 'col4': 1.0424744952270786, 'col5': 1.8605923874093748, 'col6': 1.1901250092993885, 'col7': 1.0787323049825759, 'col8': 2.9126796166318356, 'col9': 3.3016401534658457, 'col10': 3.759397195429445, 'col11': 1.215919117913486}",0.93,0.59,0.93,0.53
77,4,True,3,dsct,-inf,-306.31579139992,normal,RL,"{'mean1': 1.0062393581578897, 'Intercept': 1.0134368432529584, 'col0': 1.0034964695077835, 'col1': 1.0064997476712985, 'col2': 1.0068226550107287, 'col3': 1.0219828870493852, 'col4': 1.002882841600195, 'col5': 1.012393911444577, 'col6': 1.011316836663741, 'col7': 1.002381926569964, 'col8': 1.0010672092739528, 'col9': 1.0145689217536156, 'col10': 0.99972469461259, 'col11': 1.021582502972411}",0.97,0.59,0.97,0.44
78,4,True,3,lpv,-inf,-515.968971039913,normal,RL,"{'mean1': 0.9996179638534614, 'Intercept': 1.0077249491428646, 'col0': 1.0248805899500943, 'col1': 1.028743598848877, 'col2': 0.9997906892431969, 'col3': 1.0537950507851852, 'col4': 1.007663618550418, 'col5': 1.0039315901021684, 'col6': 1.168036552575417, 'col7': 1.0927780431753729, 'col8': 0.9995043733847666, 'col9': 0.9998365069180265, 'col10': 1.0236060551892072, 'col11': 1.1284446381042814}",0.99,0.73,0.99,0.78
79,4,True,3,ecl,-inf,-1624.54018933005,normal,RL,"{'mean1': 1.0003360273199005, 'Intercept': 1.0142530452478784, 'col0': 1.024899579787885, 'col1': 1.0521428120670033, 'col2': 1.0040993758157455, 'col3': 1.0089589531367937, 'col4': 1.0777060302167456, 'col5': 1.0033800070725483, 'col6': 1.1067026426223732, 'col7': 1.0164055502601925, 'col8': 1.131727680648615, 'col9': 1.0002561430796608, 'col10': 1.0560249648641602, 'col11': 1.0085281906229064}",0.95,0.53,0.95,0.43
80,4,True,3,rrlyr,-inf,0,student,RL,"{'mean1': 0.9996431994672267, 'Intercept': 1.0048898454899677, 'col0': 0.9995072173783897, 'col1': 0.999685563003792, 'col2': 1.0202780860142557, 'col3': 1.016825988764962, 'col4': 1.002380296306847, 'col5': 1.1376977150643677, 'col6': 1.0507567333146584, 'col7': 0.9998638087619391, 'col8': 1.0096362683162026, 'col9': 1.091478152823906, 'col10': 1.0952484326036727, 'col11': 1.052647403400212}",0.98,0.66,0.98,0.70
81,4,True,3,cep,-inf,0,student,RL,"{'mean1': 1.0016621937962487, 'Intercept': 1.0777006040610593, 'col0': 1.176057490915754, 'col1': 1.0857355270355729, 'col2': 1.3422638726733238, 'col3': 1.0032252430483215, 'col4': 1.100189265228507, 'col5': 1.9904520231785394, 'col6': 1.3409114307723313, 'col7': 1.0264493059840736, 'col8': 1.025406903041629, 'col9': 3.13226210220756, 'col10': 2.6158369487459474, 'col11': 1.0038553686492069}",0.93,0.59,0.93,0.53
82,4,True,3,dsct,-inf,-283.657340647549,student,RL,"{'mean1': 1.0076199109923776, 'Intercept': 1.0003874817392562, 'col0': 1.736859626767606, 'col1': 1.494681287201504, 'col2': 1.4152673199855101, 'col3': 1.5347843485063228, 'col4': 1.000363329179022, 'col5': 1.120490500499565, 'col6': 1.1385155610398174, 'col7': 1.0877127523580057, 'col8': 1.0002624450505986, 'col9': 1.1691623091511183, 'col10': 1.0646300425857576, 'col11': 1.0608167500691785}",0.97,0.53,0.97,0.31
